Timestamp,Cleaned PPG
1712056772291,0.0
1712056772331,0.0
1712056772372,0.0
1712056772411,0.0
1712056772451,0.0
1712056772491,0.0
1712056772531,0.0
1712056772572,0.0
1712056772612,0.0
1712056772652,0.0
1712056772692,0.0
1712056772732,0.0
1712056772773,0.0
1712056772812,0.0
1712056772853,0.0
1712056772892,0.0
1712056772933,0.0
1712056772974,0.0
1712056773013,0.0
1712056773053,0.0
1712056773093,0.0
1712056773133,0.0
1712056773174,0.0
1712056773213,0.0
1712056773253,0.0
1712056773293,0.0
1712056773334,0.0
1712056773375,0.0
1712056773417,0.0
1712056773454,0.0
1712056773494,0.0
1712056773534,0.0
1712056773575,1569177.495112055
1712056773614,1569177.495112055
1712056773655,1569177.495112055
1712056773695,1694029.64964857
1712056773735,1760367.0471643726
1712056773776,1892327.0438575072
1712056773815,2007535.7969354321
1712056773855,2007535.7969354321
1712056773895,2007535.7969354321
1712056773935,2007535.7969354321
1712056773976,2007535.7969354321
1712056774016,1897950.9117386471
1712056774056,1892327.0438575072
1712056774096,1808768.9224772612
1712056774136,1760367.0471643726
1712056774177,1694029.64964857
1712056774216,1569177.495112055
1712056774256,1406854.3941624153
1712056774297,1383772.9662281275
1712056774337,1271581.8671053678
1712056774378,1111188.3158122292
1712056774417,526392.9634210346
1712056774457,257005.0000077868
1712056774497,242247.66502564307
1712056774537,240268.90562193468
1712056774578,239218.14981800877
1712056774618,234091.7337683402
1712056774658,228451.47612790018
1712056774698,224808.47939513158
1712056774738,209966.8257433693
1712056774779,209966.8257433693
1712056774818,209966.8257433693
1712056774858,209966.8257433693
1712056774899,209966.8257433693
1712056774939,209966.8257433693
1712056774980,209966.8257433693
1712056775019,209966.8257433693
1712056775059,209966.8257433693
1712056775099,209966.8257433693
1712056775139,209966.8257433693
1712056775180,652668.6458102665
1712056775220,652668.6458102665
1712056775260,652668.6458102665
1712056775300,652668.6458102665
1712056775340,652668.6458102665
1712056775381,652668.6458102665
1712056775420,652668.6458102665
1712056775460,652668.6458102665
1712056775501,652668.6458102665
1712056775541,652668.6458102665
1712056775582,652668.6458102665
1712056775624,634079.6295145359
1712056775661,586777.2773034144
1712056775701,542916.3525352464
1712056775742,513703.2944529094
1712056775783,502799.5948383445
1712056775822,477164.01628556754
1712056775862,469440.44036074774
1712056775902,441993.0244870465
1712056775942,402134.51739496365
1712056775984,372033.4854714619
1712056776023,356400.5898858835
1712056776063,320301.5896146642
1712056776103,287920.55199667066
1712056776143,281071.09780031815
1712056776184,246103.30399757624
1712056776224,240577.5207850784
1712056776264,237434.927264316
1712056776304,230120.08770147385
1712056776344,229345.86293090414
1712056776385,222733.56314227544
1712056776424,215603.93806884577
1712056776464,203257.44903855352
1712056776505,200159.00419820473
1712056776544,165472.37015627278
1712056776586,164585.2361746612
1712056776625,156827.16037839
1712056776665,153353.79059651494
1712056776705,150856.23056799732
1712056776745,141854.15580907278
1712056776786,138017.35167666245
1712056776825,128159.02755458048
1712056776865,123256.34789835522
1712056776905,118199.5418758886
1712056776946,98299.91368780751
1712056776987,-411770.7157189124
1712056777026,-1215850.6619839463
1712056777066,-1215850.6619839463
1712056777106,-1215850.6619839463
1712056777146,-1215850.6619839463
1712056777187,-1215850.6619839463
1712056777226,-1215850.6619839463
1712056777266,-1215850.6619839463
1712056777307,-1215850.6619839463
1712056777347,-1215850.6619839463
1712056777388,-1215850.6619839463
1712056777427,-1215850.6619839463
1712056777467,-1174725.7796825678
1712056777507,-1042966.5477183396
1712056777547,-901835.9166475884
1712056777588,-745580.1733692326
1712056777627,-542087.7117060455
1712056777668,-337568.0914615635
1712056777708,-146097.24455492338
1712056777748,147649.49462234788
1712056777789,170612.12754578516
1712056777828,175890.94481917564
1712056777868,177930.39801679086
1712056777908,177930.39801679086
1712056777948,177930.39801679086
1712056777989,189620.14260991383
1712056778029,192574.6194010973
1712056778069,214145.34477363247
1712056778109,234636.9783521779
1712056778149,237730.48986805882
1712056778190,276925.0722421808
1712056778229,276925.0722421808
1712056778269,276925.0722421808
1712056778309,276925.0722421808
1712056778350,276925.0722421808
1712056778391,276925.0722421808
1712056778430,276824.967321862
1712056778470,261490.3494694666
1712056778510,261490.3494694666
1712056778550,261490.3494694666
1712056778591,276824.967321862
1712056778631,276824.967321862
1712056778670,276824.967321862
1712056778711,276824.967321862
1712056778751,276824.967321862
1712056778792,276824.967321862
1712056778831,276824.967321862
1712056778871,276824.967321862
1712056778911,261490.3494694666
1712056778951,258497.8443265427
1712056778992,251113.57780463994
1712056779031,238973.94340983126
1712056779072,222911.47215699032
1712056779112,206435.58792836266
1712056779152,201104.37472960353
1712056779193,185303.14576581866
1712056779232,174063.95695815003
1712056779272,153388.09706909535
1712056779312,146717.40811841702
1712056779353,97832.18074261071
1712056779394,97832.18074261071
1712056779433,97832.18074261071
1712056779473,97832.18074261071
1712056779513,97832.18074261071
1712056779553,97832.18074261071
1712056779594,95593.40221352642
1712056779633,95593.40221352642
1712056779673,95593.40221352642
1712056779714,95593.40221352642
1712056779754,95593.40221352642
1712056779795,95376.55159432674
1712056779834,95376.55159432674
1712056779874,95376.55159432674
1712056779914,95376.55159432674
1712056779954,95376.55159432674
1712056779995,95376.55159432674
1712056780035,95376.55159432674
1712056780075,95376.55159432674
1712056780115,95376.55159432674
1712056780155,95376.55159432674
1712056780196,69557.09539112821
1712056780235,69030.97574341949
1712056780276,68776.41970253084
1712056780316,62692.68460482359
1712056780356,60806.956711700186
1712056780397,57562.23584402632
1712056780436,56924.73454741668
1712056780476,56401.86694475729
1712056780516,55060.15024959855
1712056780557,54664.99584031012
1712056780597,54406.569491724484
1712056780637,52616.698638956994
1712056780677,49987.30625719018
1712056780717,48845.86253332626
1712056780757,48718.921601804905
1712056780798,47984.81270145066
1712056780837,46694.085096987896
1712056780877,46692.93685083371
1712056780918,46569.23753881175
1712056780958,46377.63418381289
1712056780999,45184.399274192285
1712056781038,44042.020689827856
1712056781078,43361.7471392788
1712056781118,40582.36349960975
1712056781159,39986.813339414075
1712056781200,39081.93003252195
1712056781239,35921.23524638917
1712056781279,32453.21308737807
1712056781319,28593.834211670328
1712056781359,25054.880811911076
1712056781401,22712.089312202297
1712056781440,22712.089312202297
1712056781480,21866.38934113132
1712056781520,21364.657891242765
1712056781560,19874.149881452322
1712056781601,19811.83174832724
1712056781641,18737.550889752805
1712056781681,18521.62116094865
1712056781721,18393.108618790284
1712056781761,17974.93391214311
1712056781802,17600.22487993352
1712056781841,16569.874890821986
1712056781882,16021.7863587006
1712056781922,15503.233575408347
1712056781962,10302.021912626922
1712056782003,9312.0650519263
1712056782042,9312.0650519263
1712056782082,9312.0650519263
1712056782122,9312.0650519263
1712056782162,9312.0650519263
1712056782204,9312.0650519263
1712056782243,9312.0650519263
1712056782283,9312.0650519263
1712056782323,9312.0650519263
1712056782363,9312.0650519263
1712056782404,9312.0650519263
1712056782444,10433.437686420977
1712056782484,13452.09988700552
1712056782524,17588.840857842006
1712056782564,19563.123280688655
1712056782605,21801.746397523675
1712056782644,22591.40205461299
1712056782684,22725.56810340844
1712056782725,26655.412807581015
1712056782764,30829.346158023924
1712056782806,44445.281037805136
1712056782845,61622.73387110885
1712056782885,80237.00409464724
1712056782925,80237.00409464724
1712056782965,80237.00409464724
1712056783006,80541.418932328
1712056783045,80948.88847385999
1712056783085,81963.93603902217
1712056783125,85127.64628188545
1712056783166,85219.87864403147
1712056783207,85219.87864403147
1712056783246,85219.87864403147
1712056783286,85219.87864403147
1712056783326,85219.87864403147
1712056783366,85127.64628188545
1712056783407,81963.93603902217
1712056783446,80948.88847385999
1712056783486,80541.418932328
1712056783527,80438.11359073129
1712056783567,79407.04333178746
1712056783608,76935.75397532433
1712056783647,70218.30261349864
1712056783687,69568.00923917815
1712056783727,59996.79174678121
1712056783767,58183.07184278965
1712056783809,57150.465934145264
1712056783848,56336.718342919834
1712056783888,53692.735691125505
1712056783928,48937.34982919926
1712056783968,46578.99051888473
1712056784009,46578.99051888473
1712056784048,46311.28002502024
1712056784088,46311.28002502024
1712056784128,41978.6723325639
1712056784169,40816.08455414139
1712056784210,37351.95840783883
1712056784249,35518.36968678376
1712056784289,35200.63561932929
1712056784329,34615.28743334534
1712056784369,32277.062360844575
1712056784409,30282.583712307736
1712056784449,30282.583712307736
1712056784489,30282.583712307736
1712056784529,32154.200559161603
1712056784569,32277.062360844575
1712056784609,33639.21013924945
1712056784649,33681.07396689337
1712056784689,35200.63561932929
1712056784729,37351.95840783883
1712056784769,37351.95840783883
1712056784809,37351.95840783883
1712056784849,37351.95840783883
1712056784889,37351.95840783883
1712056784929,37351.95840783883
1712056784969,39021.89298581425
1712056785009,41908.18789656181
1712056785049,42807.26386852376
1712056785089,43887.0226808805
1712056785129,43900.84032814205
1712056785169,45098.0901816939
1712056785209,45312.251046074554
1712056785249,45530.07610608172
1712056785289,45609.49061468709
1712056785329,45641.052958232816
1712056785369,53566.53462132951
1712056785409,54026.351608996745
1712056785449,55547.107721443754
1712056785489,65048.66601122962
1712056785529,65048.66601122962
1712056785569,65048.66601122962
1712056785609,65048.66601122962
1712056785649,65048.66601122962
1712056785689,65048.66601122962
1712056785729,65048.66601122962
1712056785769,65048.66601122962
1712056785809,65048.66601122962
1712056785849,65048.66601122962
1712056785889,65048.66601122962
1712056785929,56543.7893394893
1712056785969,54525.32763704751
1712056786009,53875.7680079164
1712056786049,51891.91408109479
1712056786089,50567.15100579988
1712056786129,48629.95188920852
1712056786169,47758.78681477113
1712056786209,47553.664282635786
1712056786249,46082.10647042887
1712056786289,44269.833132208325
1712056786329,43649.29985697009
1712056786369,40658.42366906302
1712056786409,36756.41779333493
1712056786449,29119.374003494624
1712056786489,22274.363244600594
1712056786529,22089.78004432423
1712056786569,18433.979527362622
1712056786609,15919.593339345418
1712056786649,13907.537734658457
1712056786689,13456.15135422349
1712056786729,8146.129392610863
1712056786769,6338.24406770803
1712056786809,6338.24406770803
1712056786849,6338.24406770803
1712056786889,6311.445290973876
1712056786929,3607.784740750678
1712056786969,1893.3485402059741
1712056787009,-1172.975294190459
1712056787049,-1172.975294190459
1712056787089,-1172.975294190459
1712056787129,-1172.975294190459
1712056787169,-1172.975294190459
1712056787209,1893.3485402059741
1712056787249,3607.784740750678
1712056787289,6311.445290973876
1712056787329,6338.24406770803
1712056787369,8877.811569130048
1712056787409,11386.6992912204
1712056787449,24899.93557611946
1712056787489,28505.37431094423
1712056787529,29012.08936951682
1712056787569,30307.324002203066
1712056787609,30405.188807122875
1712056787649,30405.188807122875
1712056787689,30405.188807122875
1712056787729,32757.91564645199
1712056787769,33166.6005343236
1712056787809,33166.6005343236
1712056787849,33166.6005343236
1712056787889,33166.6005343236
1712056787929,33166.6005343236
1712056787969,33166.6005343236
1712056788009,32757.91564645199
1712056788049,32757.91564645199
1712056788089,32757.91564645199
1712056788129,28504.395245168358
1712056788169,26797.658067245036
1712056788209,24599.517669933848
1712056788249,24476.926125582308
1712056788289,19065.009917660616
1712056788329,11845.169657772407
1712056788369,6877.5137378824875
1712056788409,1608.9760526916943
1712056788449,-945.6946618389338
1712056788489,-5210.565316609107
1712056788529,-18104.80103190895
1712056788569,-21259.199514571577
1712056788609,-25418.044916856103
1712056788649,-26131.336730490904
1712056788689,-26131.336730490904
1712056788729,-27523.47063680552
1712056788769,-42301.16788377054
1712056788809,-42606.527758533135
1712056788849,-45337.1967960624
1712056788889,-58845.803282465786
1712056788929,-64967.004326484166
1712056788969,-77563.87807898689
1712056789009,-79574.32718543848
1712056789049,-79732.23100462742
1712056789089,-79732.23100462742
1712056789129,-79574.32718543848
