Timestamp,Cleaned_PPG
1710985789878,0.0
1710985789921,0.0
1710985789959,0.0
1710985789999,0.0
1710985790039,0.0
1710985790079,0.0
1710985790119,0.0
1710985790160,0.0
1710985790199,0.0
1710985790239,0.0
1710985790279,0.0
1710985790320,0.0
1710985790361,0.0
1710985790400,0.0
1710985790440,0.0
1710985790480,0.0
1710985790520,0.0
1710985790561,0.0
1710985790601,0.0
1710985790641,0.0
1710985790681,0.0
1710985790721,0.0
1710985790762,0.0
1710985790801,0.0
1710985790841,0.0
1710985790881,0.0
1710985790922,0.0
1710985790963,0.0
1710985791002,0.0
1710985791042,0.0
1710985791082,0.0
1710985791122,0.0
1710985791163,2144897.0
1710985791203,2008195.0336858963
1710985791243,1882887.061005429
1710985791283,1766429.238226846
1710985791323,1658676.178917515
1710985791364,1557832.6463585275
1710985791403,1462651.2422940503
1710985791443,1374511.1789457873
1710985791483,1290838.8270105477
1710985791523,1212539.1764545701
1710985791564,1138620.301004592
1710985791603,1068777.464570215
1710985791643,1003831.9175987365
1710985791684,940623.3668654284
1710985791724,882829.4594507376
1710985791765,827074.6721761525
1710985791804,777332.2372901083
1710985791844,725498.451500236
1710985791884,676214.5715253004
1710985791924,624351.4608251504
1710985791965,567854.0456962686
1710985792004,516092.5542583461
1710985792045,479535.44023000076
1710985792085,470226.5415237504
1710985792127,460724.1001609282
1710985792166,447158.4596836979
1710985792205,429323.4529719711
1710985792245,410826.73906327784
1710985792285,403154.8552509749
1710985792325,380707.2827944921
1710985792366,349457.62284097914
1710985792405,320397.63885257277
1710985792445,291871.18767911475
1710985792485,277715.49593494576
1710985792526,267909.76030895486
1710985792567,228128.69464853196
1710985792606,223522.96303354134
1710985792646,208152.26101218676
1710985792686,197085.48332590377
1710985792726,177302.24694245728
1710985792767,157473.6689332677
1710985792806,148352.4904883739
1710985792846,137358.21519065392
1710985792887,134642.81176874903
1710985792927,137841.70900835935
1710985792968,140389.15232134447
1710985793007,141422.93632384064
1710985793047,137708.97716420516
1710985793087,124540.62254767539
1710985793127,124497.92005466763
1710985793168,119927.47970347665
1710985793207,128492.37890310865
1710985793248,141699.10111153312
1710985793288,156491.81415503938
1710985793328,156561.92749323812
1710985793369,132117.1872264715
1710985793408,112092.09530643048
1710985793448,102739.53507052828
1710985793488,87451.44339108281
1710985793528,91628.42815804249
1710985793569,89281.43702544319
1710985793608,92557.83158210479
1710985793648,101851.16656559985
1710985793689,114841.80564888474
1710985793729,123878.35176653136
1710985793769,111817.40283207642
1710985793809,92956.79172297008
1710985793849,100838.77850059047
1710985793889,78570.64674049057
1710985793929,72515.55112632597
1710985793970,58435.85303848563
1710985794009,45973.47888786625
1710985794049,43900.87097900594
1710985794090,28617.983428989537
1710985794130,35976.74700613227
1710985794171,42554.58117790753
1710985794210,44508.99570815312
1710985794250,48980.225466735195
1710985794290,56741.761269195005
1710985794333,65179.596952663735
1710985794371,76782.1857062229
1710985794410,78989.18523505004
1710985794451,85806.62609034404
1710985794491,83110.89845052641
1710985794531,91358.56993715
1710985794572,92673.12131512631
1710985794611,85717.06141270185
1710985794651,80682.84046770632
1710985794692,75555.09758598357
1710985794731,70530.47698474908
1710985794772,69361.80063903984
1710985794812,59522.53561813198
1710985794852,53660.49441567436
1710985794892,47828.38770652935
1710985794932,38739.73718234245
1710985794973,18575.43347967649
1710985795012,10363.206291869283
1710985795053,8685.06977001112
1710985795093,6718.027856542729
1710985795133,6522.912486162968
1710985795174,12171.284233001992
1710985795213,11347.954294630792
1710985795253,15251.057072176598
1710985795293,15779.463467514608
1710985795333,7916.3508291095495
1710985795374,13932.717848226428
1710985795414,11665.293738206849
1710985795454,5158.57304478297
1710985795494,4673.993536463007
1710985795534,7653.873101607431
1710985795575,15726.3781670006
1710985795614,5647.823366010096
1710985795655,4354.816698567942
1710985795695,7904.550395253114
1710985795735,10292.602309806272
1710985795776,11970.966571351048
1710985795815,-199.91847648611292
1710985795855,-3365.0395584683865
1710985795895,1145.851211459376
1710985795935,1182.5895425956696
1710985795976,-5908.048842953518
1710985796016,-4549.229080901016
1710985796056,-2436.050188944675
1710985796096,3532.5073597356677
1710985796136,7781.117335170507
1710985796177,9185.627655833028
1710985796216,8932.612064898945
1710985796256,8192.91326478403
1710985796296,8277.14986121608
1710985796337,17764.61965405196
1710985796378,20540.109352890868
1710985796417,14550.293036019895
1710985796457,3852.9198997514322
1710985796497,-19566.473491306417
1710985796537,-2951.6551364301704
1710985796578,-1546.095648849383
1710985796618,6502.663720515557
1710985796658,7660.590371822007
1710985796698,6238.3473698487505
1710985796738,10843.042350970674
1710985796779,8477.38510949118
1710985796818,10532.307970518246
1710985796859,6525.875150760636
1710985796899,14060.762471098918
1710985796939,20249.554529817775
1710985796980,21720.17704281863
1710985797019,17620.780017173383
1710985797059,25048.342028571293
1710985797099,40535.86134489067
1710985797139,33539.22148580663
1710985797180,31172.85214468371
1710985797220,28293.866762339603
1710985797260,31833.352833214216
1710985797300,35090.49320977088
1710985797340,30239.088292699307
1710985797381,28356.79210422095
1710985797420,26122.702085273806
1710985797461,23731.929206840694
1710985797501,24975.321483187377
1710985797541,21275.7896623048
1710985797582,14457.435589516535
1710985797621,8449.303266953211
1710985797661,5065.541665621102
1710985797701,-2321.7932486617938
1710985797741,3751.6371875032783
1710985797782,22901.437303773127
1710985797821,9183.548806483857
1710985797861,389.99693191982806
1710985797901,-4132.8598117642105
1710985797942,2494.7084830515087
1710985797982,14097.623457283713
1710985798022,14788.162092323415
1710985798062,18219.717260173056
1710985798102,20487.99326686375
1710985798142,21520.630330262706
1710985798183,27475.880749817006
1710985798222,28924.487264136784
1710985798262,29939.918608165346
1710985798302,35421.9064431726
1710985798342,26434.286115901545
1710985798383,22564.42447692994
1710985798423,20621.25439450983
1710985798463,17113.335281826556
1710985798503,15493.224982609041
1710985798543,12558.814695509616
1710985798584,7256.355657295324
1710985798623,2286.3655441491865
1710985798663,4570.037593313493
1710985798703,11484.777711699717
1710985798743,14584.37791956868
1710985798784,-174.10895313695073
1710985798824,-18596.4308851948
1710985798864,-26300.3661979232
1710985798904,-32740.056897859555
1710985798944,-56286.93276851671
1710985798985,-76227.65708783409
1710985799024,-75837.03996751225
1710985799064,-86634.7706662789
1710985799104,-80855.09438671684
1710985799144,-84192.56579223089
1710985799185,-84068.75710807228
1710985799224,-93361.48813449964
1710985799265,-100671.46550105372
1710985799305,-88744.80745864753
1710985799345,-80097.78658857383
1710985799386,-67380.68639572151
1710985799425,-63891.76807550993
1710985799465,-68629.5178301651
1710985799505,-72704.07239926048
1710985799545,-76463.76052302308
1710985799586,-70526.28089083359
1710985799626,-68076.68972248957
1710985799666,-63072.30931959115
1710985799706,-57512.39844452776
1710985799746,-52813.588671875186
1710985799787,-51779.500969714485
1710985799826,-49074.13605051488
1710985799866,-49115.60307672247
1710985799906,-41109.511263906024
1710985799946,-42777.10509138182
1710985799987,-48869.04100819817
1710985800027,-49587.92329490371
1710985800067,-48889.86538691074
1710985800107,-43829.77220846061
1710985800147,-50924.55420640949
1710985800188,-55529.80486629903
1710985800227,-47852.715169445146
1710985800267,-49712.942719739396
1710985800307,-70063.40503752325
1710985800348,-62622.28231908847
1710985800388,-69348.12936685653
1710985800428,-63843.72755741421
1710985800468,-58477.16657930659
1710985800508,-50861.407657266594
1710985800548,-42919.53176738601
1710985800589,-43425.38098584395
1710985800628,-37759.30363420211
1710985800669,-44454.83708715532
1710985800709,-22264.046649209224
1710985800749,-2877.796878761612
1710985800790,-11852.49231303623
1710985800829,-13216.768412442878
1710985800869,-13921.734836644027
1710985800909,-3921.725258008577
1710985800950,110.51013692934066
1710985800990,5008.888787907548
1710985801030,2742.2979282215238
1710985801070,3903.4843055186793
1710985801110,4611.3460136181675
1710985801150,7969.409530180972
1710985801191,6472.331810825504
1710985801230,6686.32215043623
1710985801270,9581.355149075855
1710985801311,9692.031979542226
1710985801351,12744.014389140066
1710985801391,11600.072967456654
1710985801431,15990.811993638985
1710985801471,16774.01775715407
1710985801511,13782.371748006903
1710985801552,16005.046713467687
1710985801592,17861.910058664158
1710985801632,19298.5439523533
1710985801672,20866.136157366447
1710985801712,22236.057599297725
1710985801752,22402.765002428554
1710985801793,29084.766768491827
1710985801832,36707.393919122405
1710985801872,38144.85956071783
1710985801966,43803.101590444334
1710985802006,56999.18177422974
1710985802046,45908.19372928608
1710985802086,42630.14942841139
1710985802126,52805.73388067726
1710985802166,53793.351758975536
1710985802206,52569.40234951116
1710985802247,69654.01741802506
1710985802287,64418.75051600486
1710985802327,57910.74331016
1710985802367,57233.04426594125
1710985802407,54811.840794986114
1710985802448,55660.11015544273
1710985802487,52329.347600465175
1710985802527,50734.71919009881
1710985802568,47849.3322026683
1710985802607,46733.12412016466
1710985802649,44750.28327958053
1710985802688,41983.72556588752
