dataReceived,timestamp,ppg,status
1712226201044,1712226188896,2097152,0
1712226201044,1712226188939,2081853,0
1712226201044,1712226188977,2075758,0
1712226201044,1712226189016,2075943,0
1712226201044,1712226189056,2077598,0
1712226201044,1712226189097,2078205,0
1712226201044,1712226189137,2079850,0
1712226201044,1712226189178,2082117,0
1712226201044,1712226189217,2083344,0
1712226201044,1712226189257,2084425,0
1712226201044,1712226189297,2073973,0
1712226201044,1712226189337,2075967,0
1712226201044,1712226189378,2075671,0
1712226201044,1712226189417,2075087,0
1712226201044,1712226189457,2073879,0
1712226201044,1712226189498,2076146,0
1712226201044,1712226189538,2074724,0
1712226201044,1712226189579,2073608,0
1712226201044,1712226189618,2073292,0
1712226201044,1712226189658,2072835,0
1712226201044,1712226189698,2081179,0
1712226201044,1712226189738,2081202,0
1712226201044,1712226189779,2081041,0
1712226201044,1712226189818,2081074,0
1712226201044,1712226189858,2080600,0
1712226201044,1712226189898,2079854,0
1712226201044,1712226189938,2080025,0
1712226201044,1712226189979,2080151,0
1712226201044,1712226190019,2079916,0
1712226201044,1712226190059,2079994,0
1712226201044,1712226190099,2080344,0
1712226201044,1712226190139,2080015,0
1712226201044,1712226190180,2080018,0
1712226201044,1712226190219,2079866,0
1712226201044,1712226190259,2080087,0
1712226201044,1712226190299,2080867,0
1712226201044,1712226190339,2082566,0
1712226201044,1712226190380,2083939,0
1712226201044,1712226190420,2084348,0
1712226201044,1712226190459,2084964,0
1712226201044,1712226190499,2089514,0
1712226201044,1712226190540,2110481,0
1712226201044,1712226190581,2197754,0
1712226201044,1712226190620,2325063,0
1712226201044,1712226190660,2405965,0
1712226201044,1712226190700,2409471,0
1712226201044,1712226190740,2751098,0
1712226201044,1712226190781,2910926,0
1712226201044,1712226190820,2756211,0
1712226201044,1712226190860,2725268,0
1712226201044,1712226190901,2716453,0
1712226201044,1712226190941,2678327,0
1712226201044,1712226190982,2626272,0
1712226201044,1712226191021,3022500,0
1712226201044,1712226191061,3832645,0
1712226201044,1712226191101,3455909,0
1712226201044,1712226191144,2970733,0
1712226201044,1712226191182,3190017,0
1712226201044,1712226191221,2992933,0
1712226201044,1712226191261,2997445,0
1712226201044,1712226191301,3409222,0
1712226201044,1712226191341,3370410,0
1712226201044,1712226191382,4183331,0
1712226201044,1712226191422,4181844,0
1712226201044,1712226191462,4182551,0
1712226201044,1712226191502,4182274,0
1712226201044,1712226191542,4180599,0
1712226201044,1712226191583,4181552,0
1712226201044,1712226191622,4179633,0
1712226201044,1712226191662,4182747,0
1712226201044,1712226191702,4194465,0
1712226201044,1712226191743,4194735,0
1712226201044,1712226191783,4181337,0
1712226201044,1712226191823,4173907,0
1712226201044,1712226191863,4158407,0
1712226201044,1712226191903,4166302,0
1712226201044,1712226191943,4171027,0
1712226201044,1712226191984,4165868,0
1712226201044,1712226192023,4164666,0
1712226201044,1712226192063,4163363,0
1712226201044,1712226192104,4163583,0
1712226201044,1712226192144,4165279,0
1712226201044,1712226192184,4164778,0
1712226201044,1712226192224,4166664,0
1712226201044,1712226192264,4172198,0
1712226201044,1712226192304,4172641,0
1712226201044,1712226192344,4173592,0
1712226201044,1712226192385,4175578,0
1712226201044,1712226192424,4171044,0
1712226201044,1712226192465,4167385,0
1712226201044,1712226192505,4166056,0
1712226201044,1712226192545,4165250,0
1712226201044,1712226192586,4018275,0
1712226201044,1712226192625,3676046,0
1712226201044,1712226192665,3636649,0
1712226201044,1712226192705,4190539,0
1712226201044,1712226192745,4168094,0
1712226201044,1712226192786,4172735,0
1712226201044,1712226192825,4175605,0
1712226201044,1712226192865,4176148,0
1712226201044,1712226192906,4176154,0
1712226201044,1712226192946,4175794,0
1712226201044,1712226192986,4175438,0
1712226201044,1712226193026,4174931,0
1712226201044,1712226193066,4173622,0
1712226201044,1712226193106,4172407,0
1712226201044,1712226193146,4174800,0
1712226201044,1712226193187,4174957,0
1712226201044,1712226193226,4173893,0
1712226201044,1712226193266,4179257,0
1712226201044,1712226193307,4176012,0
1712226201044,1712226193349,4172438,0
1712226201044,1712226193387,4179432,0
1712226201044,1712226193427,4171810,0
1712226201044,1712226193467,4172003,0
1712226201044,1712226193507,4167666,0
1712226201044,1712226193547,4176446,0
1712226201044,1712226193588,4180366,0
1712226201044,1712226193628,4177548,0
1712226201044,1712226193668,4170971,0
1712226201044,1712226193708,4189184,0
1712226201044,1712226193748,4126355,0
1712226201044,1712226193789,3840192,0
1712226201044,1712226193828,3844003,0
1712226201044,1712226193868,3857041,0
1712226201044,1712226193908,3861783,0
