Timestamp,Cleaned PPG
1710811991585,0.0
1710811991626,0.0
1710811991667,0.0
1710811991706,0.0
1710811991746,0.0
1710811991786,0.0
1710811991826,0.0
1710811991867,0.0
1710811991906,0.0
1710811991947,0.0
1710811991987,0.0
1710811992027,0.0
1710811992068,0.0
1710811992107,0.0
1710811992147,0.0
1710811992187,0.0
1710811992228,0.0
1710811992269,0.0
1710811992308,0.0
1710811992348,0.0
1710811992388,0.0
1710811992428,0.0
1710811992469,0.0
1710811992508,0.0
1710811992548,0.0
1710811992589,0.0
1710811992629,0.0
1710811992670,0.0
1710811992709,0.0
1710811992752,0.0
1710811992789,0.0
1710811992829,0.0
1710811992871,1164588.0560676032
1710811992910,1164588.0560676032
1710811992950,1164588.0560676032
1710811992990,1164588.0560676032
1710811993030,1164588.0560676032
1710811993071,1164588.0560676032
1710811993110,1164588.0560676032
1710811993150,1164588.0560676032
1710811993191,1164588.0560676032
1710811993231,1164588.0560676032
1710811993272,1164588.0560676032
1710811993311,1097132.26509805
1710811993351,1027415.627063266
1710811993391,961398.0823041378
1710811993431,901962.1826340845
1710811993472,842700.3456307445
1710811993511,787028.0583702135
1710811993552,738446.9611400128
1710811993592,688082.8498657104
1710811993632,640089.1855790059
1710811993673,592590.5649761371
1710811993712,540204.5816447856
1710811993752,486628.87100276677
1710811993792,431411.96611223
1710811993832,381121.22535937815
1710811993874,338938.27335702674
1710811993913,305374.1248651047
1710811993953,274801.770053932
1710811993993,248467.7499665334
1710811994033,223946.9471115081
1710811994074,205570.6876411806
1710811994113,189359.4256016647
1710811994154,175538.78814002266
1710811994194,161504.79723921884
1710811994234,146533.23812626326
1710811994275,130306.51812582929
1710811994314,114831.6659621424
1710811994354,95102.23610106716
1710811994395,71971.46426304942
1710811994435,47940.00822903239
1710811994475,23648.380042769713
1710811994515,-1218.0461866138503
1710811994555,-17251.40122535266
1710811994595,-19427.38347216742
1710811994635,-20370.941562476335
1710811994676,-20370.941562476335
1710811994716,-20370.941562476335
1710811994756,-20370.941562476335
1710811994796,-20370.941562476335
1710811994836,-20370.941562476335
1710811994877,-20370.941562476335
1710811994916,-20370.941562476335
1710811994959,-20370.941562476335
1710811994996,-20370.941562476335
1710811995036,-19427.38347216742
1710811995077,-13309.163008042844
1710811995116,-13309.163008042844
1710811995156,-13309.163008042844
1710811995197,-13309.163008042844
1710811995237,-13309.163008042844
1710811995277,-13309.163008042844
1710811995317,-13309.163008042844
1710811995357,-13309.163008042844
1710811995397,-13309.163008042844
1710811995437,-13309.163008042844
1710811995478,-13309.163008042844
1710811995517,-15315.272596742958
1710811995557,-16743.450319611
1710811995598,-19996.24544582027
1710811995638,-23959.584930923767
1710811995678,-29693.87355342647
1710811995718,-38336.516949105775
1710811995758,-38336.516949105775
1710811995798,-38336.516949105775
1710811995838,-38336.516949105775
1710811995879,-38336.516949105775
1710811995918,-38336.516949105775
1710811995958,-38336.516949105775
1710811995999,-39215.37483353866
1710811996039,-42232.66562944441
1710811996080,-42612.04186834954
1710811996119,-43806.96597205801
1710811996159,-43806.96597205801
1710811996199,-43806.96597205801
1710811996239,-43806.96597205801
1710811996280,-43806.96597205801
1710811996320,-43806.96597205801
1710811996359,-43806.96597205801
1710811996400,-43806.96597205801
1710811996440,-43806.96597205801
1710811996480,-43806.96597205801
1710811996520,-43806.96597205801
1710811996560,-44310.50444654771
1710811996600,-45053.6851799814
1710811996640,-45084.05698075378
1710811996681,-45104.86214267672
1710811996720,-45618.116853463696
1710811996760,-47440.076998508535
1710811996800,-47440.076998508535
1710811996840,-47440.076998508535
1710811996881,-47440.076998508535
1710811996921,-47440.076998508535
1710811996961,-47440.076998508535
1710811997001,-47440.076998508535
1710811997041,-47440.076998508535
1710811997082,-47292.21584819164
1710811997121,-47224.580322106835
1710811997161,-47032.99980963487
1710811997201,-46226.66691141273
1710811997242,-45618.116853463696
